Seed	Size	Fitness	Members
YBR170C	7	0.354062805	YDL126C,YGR048W,YBL058W,YDR330W,YBR273C,YML013W
YBR175W	7	0.398482291	YAR003W,YBR258C,YHR119W,YPL138C,YDR469W,YLR015W
YBR177C	2	1	YKL140W
YBR181C	47	0.940549768	YPL090C,YLR048W,YJL136C,YNL096C,YML063W,YDL083C,YIL069C,YNL302C,YLR167W,YOR293W,YHR021C,YOR167C,YLR264W,YGR118W,YPR132W,YKL156W,YMR230W,YDR450W,YML026C,YOL121C,YER074W,YMR143W,YDR447C,YML024W,YPL081W,YGL189C,YER131W,YMR116C,YBR189W,YJR123W,YJL191W,YER102W,YHL015W,YKR057W,YCR031C,YLR441C,YDR064W,YOR096W,YDR025W,YOL040C,YGR214W,YGL123W,YNL178W,YBR048W,YBL072C,YOR119C
YBR188C	5	0.317714716	YGR129W,YMR213W,YLR117C,YPR101W
YBR189W	47	0.93368022	YPL081W,YBR181C,YBR048W,YMR116C,YBL072C,YNL096C,YLR048W,YJL136C,YNL302C,YLR167W,YER102W,YOR293W,YHR021C,YOR167C,YLR264W,YGR118W,YPR132W,YIL069C,YKL156W,YMR230W,YML063W,YDL083C,YDR450W,YML026C,YOL121C,YER074W,YMR143W,YGL189C,YJL191W,YML024W,YER131W,YKR057W,YHL015W,YDR447C,YPL090C,YDR025W,YCR031C,YGL123W,YOL040C,YNL178W,YJR123W,YGR214W,YLR441C,YOR096W,YDR064W,YOR119C
YBR192W	9	1	YBL030C,YBR104W,YDL198C,YFR045W,YIL006W,YMR056C,YMR241W,YPR128C
YBR193C	24	0.899207732	YNL025C,YDR443C,YCR081W,YPL042C,YGL127C,YHR041C,YNL236W,YDL005C,YGL025C,YER022W,YDR308C,YLR071C,YBR253W,YOL051W,YPR070W,YGR104C,YHR058C,YPR168W,YBL093C,YNR010W,YOL135C,YOR174W,YGL151W
YBR198C	24	0.647382506	YDR145W,YGL112C,YMR236W,YDR167W,YBR081C,YER164W,YGL066W,YOL148C,YMR223W,YDR392W,YBR111W-A,YGR252W,YLR055C,YDR448W,YDR176W,YPL254W,YHR099W,YCL010C,YPL047W,YCR042C,YGL252C,YER148W,YOR023C
YBR200W	9	0.681039296	YIL068C,YER008C,YLR166C,YPR055W,YGL233W,YJL085W,YDR166C,YBR102C
YBR201W	8	0.599157264	YML029W,YDR057W,YOL013C,YLR207W,YDR411C,YJL034W,YBR273C
YBR202W	7	0.500356806	YPR019W,YEL032W,YGL201C,YLR274W,YBL023C,YDR052C
YBR207W	2	1	YER145C
